rho,rho_u,rho_v,rho_E
1.0,0.000000,204.272415,230359.234375
2.0,0.000000,204.272415,230359.234375
3.0,0.000000,204.272415,230359.234375
4.176616,0.000000,204.272415,230359.234375
5.176616,0.000000,204.272415,230359.234375
6.176616,0.000000,204.272415,230359.234375
7.176616,0.000000,204.272415,230359.234375
8.176616,0.000000,204.272415,230359.234375
9.176616,0.000000,204.272415,230359.234375
10.176616,0.000000,204.272415,230359.234375
11.176616,0.000000,204.272415,230359.234375
12.176616,0.000000,204.272415,230359.234375
13.176616,0.000000,204.272415,230359.234375
14.176616,0.000000,204.272415,230359.234375
15.176616,0.000000,204.272415,230359.234375
16.176616,0.000000,204.272415,230359.234375
17.176616,0.000000,204.272415,230359.234375
18.8176616,0.000000,204.272415,230359.234375
19.176616,0.000000,204.272415,230359.234375
20.176616,0.000000,204.272415,230359.234375
21.176616,0.000000,204.272415,230359.234375
22.176616,0.000000,204.272415,230359.234375
23.176616,0.000000,204.272415,230359.234375
24.176616,0.000000,204.272415,230359.234375
25.176616,0.000000,204.272415,230359.234375
26.176616,0.000000,204.272415,230359.234375
27.176616,0.000000,204.272415,230359.234375
28.176616,0.000000,204.272415,230359.234375
29.176616,0.000000,204.272415,230359.234375
30.176616,0.000000,204.272415,230359.234375
