rho,rho_u,rho_v,rho_E
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,94.133003,78.490623,259695.968750
1.176616,102.058823,67.866028,259695.968750
1.176616,110.546036,52.928005,259695.968750
1.176616,117.859367,33.629890,259695.968750
1.176616,122.025307,11.472784,259695.968750
1.176616,122.005066,-11.686101,259695.968750
1.176616,117.807175,-33.812271,259695.968750
1.176616,110.483429,-53.058578,259695.968750
1.176616,102.009346,-67.940369,259695.968750
1.176616,94.119751,-78.506508,259695.968750
1.176616,122.563454,-0.000781,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,117.655746,0.000000,259695.968750
1.176616,122.563454,0.000000,262149.937500
1.176616,122.563454,0.000000,262149.937500
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.668304,139.409851,94.890549,259695.968750
1.590977,141.610626,79.816025,259695.968750
1.523825,144.940308,60.737286,259695.968750
1.405232,141.216370,36.897038,259695.968750
1.255876,130.263351,11.859147,259695.968750
1.095889,113.615234,-11.285191,259695.968750
0.946816,94.334312,-30.510387,259695.968750
0.828688,76.027229,-45.213753,259695.968750
0.762000,62.441799,-55.969955,259695.968750
0.685312,48.881035,-62.116055,259695.968750
1.176613,122.563072,-0.000781,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,117.655579,0.000000,259695.968750
1.176616,122.563454,0.000000,262149.937500
1.176616,122.563454,0.000000,262149.937500
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.668304,167.840286,16.399948,259695.968750
1.590977,162.115295,11.949911,259695.968750
1.523825,156.957718,7.809301,259695.968750
1.405232,145.920456,3.267120,259695.968750
1.255876,130.801483,0.386470,259695.968750
1.095889,114.173622,0.400864,259695.968750
0.946816,99.090584,3.301846,259695.968750
0.828688,88.107231,7.844701,259695.968750
0.762000,82.995918,11.970446,259695.968750
0.685312,77.324722,16.390429,259695.968750
1.176613,122.563072,-0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,117.655571,0.000000,259695.968750
1.176616,127.471336,0.000000,262149.937500
1.176616,127.471336,0.000000,262149.937500
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,117.655746,0.000000,259695.968750
1.176616,127.471161,0.000000,262149.937500
1.176616,127.471161,0.000000,262149.937500
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,117.655891,0.000000,259695.968750
1.176616,127.471016,0.000000,262149.937500
1.176616,127.471016,0.000000,262149.937500
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
