rho,rho_u,rho_v,rho_E
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,-0.000000,259695.968750
1.176616,122.563454,0.000001,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,-0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,-0.000000,259695.968750
1.176616,122.563454,-0.000001,259695.968750
1.176616,122.563454,-0.000000,259695.968750
1.176616,122.563454,-0.000001,259695.968750
1.176616,122.563454,-0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,-0.000001,259695.968750
1.176616,122.563454,-0.000002,259695.968750
1.176616,122.563454,0.000001,259695.968750
1.176549,122.556511,-0.207364,259695.968750
1.176377,122.538795,-0.774216,259695.968750
1.176454,122.546700,-0.245955,259695.968750
1.176650,122.566971,1.412885,259695.968750
1.175589,122.457314,-2.264735,259695.968750
1.174632,122.358536,-7.028536,259695.968750
1.175369,97.557571,67.369293,259695.968750
1.176865,101.530006,61.980465,259695.968750
1.176104,112.931366,43.916737,259695.968750
1.176457,118.768539,27.953684,259695.968750
1.176417,122.076164,9.833021,259695.968750
1.176292,122.145454,-9.158259,259695.968750
1.175988,118.742958,-27.920990,259695.968750
1.175452,114.204483,-41.693424,259695.968750
1.175313,107.279358,-54.993816,259695.968750
1.176744,93.702835,-71.059578,259695.968750
1.177742,122.679787,-3.745412,259695.968750
1.175560,122.454315,3.581958,259695.968750
1.176510,122.552490,1.389300,259695.968750
1.176633,122.565208,-0.586199,259695.968750
1.176797,122.582184,-0.515352,259695.968750
1.176549,122.556503,0.209556,259695.968750
1.176616,122.563454,0.000001,259695.968750
1.176616,122.563454,-0.000001,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000001,259695.968750
1.176616,122.563454,-0.000001,259695.968750
1.176616,122.563454,-0.000000,259695.968750
1.176616,122.563454,0.000002,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,-0.000001,259695.968750
1.176616,122.563454,-0.000001,259695.968750
1.176616,122.563454,0.000002,259695.968750
1.176616,122.563454,0.000001,259695.968750
1.176623,122.563461,0.000001,259695.968750
1.176616,122.661613,0.000002,259695.968750
1.176631,122.465309,-0.000001,262135.906250
1.176631,122.465309,-0.000001,262135.906250
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,-0.000001,259695.968750
1.176616,122.563454,-0.000001,259695.968750
1.176616,122.563454,0.000001,259695.968750
1.176616,122.563454,0.000001,259695.968750
1.176616,122.563454,-0.000000,259695.968750
1.176616,122.563454,-0.000000,259695.968750
1.176616,122.563454,-0.000001,259695.968750
1.176616,122.563454,0.000002,259695.968750
1.176616,122.563454,0.000001,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,-0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000001,259695.968750
1.176616,122.563438,-0.594905,259695.968750
1.176615,122.563377,-2.112180,259695.968750
1.176639,122.565781,-0.882077,259695.968750
1.176703,122.572426,2.264642,259695.968750
1.176653,122.567299,-7.718457,259695.968750
1.176497,122.551163,-17.677425,259695.968750
1.176768,122.586655,-0.814730,259695.968750
1.165486,97.193855,67.216835,259695.968750
1.170545,109.302811,52.133568,259695.968750
1.172413,116.759209,36.897419,259695.968750
1.174157,118.521385,28.007013,259695.968750
1.175829,122.219597,8.027173,259695.968750
1.177323,121.759720,-13.369129,259695.968750
1.178901,115.939194,-36.689926,259695.968750
1.180607,107.202744,-54.160389,259695.968750
1.182201,104.885475,-58.470154,259695.968750
1.187628,98.894875,-66.861084,259695.968750
1.176827,122.592430,-10.089801,259695.968750
1.176712,122.573387,-10.705832,259695.968750
1.176574,122.559067,9.400359,259695.968750
1.176560,122.557625,2.471865,259695.968750
1.176639,122.565857,-0.706944,259695.968750
1.176616,122.563454,-1.606682,259695.968750
1.176616,122.563454,0.595582,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000001,259695.968750
1.176616,122.563454,-0.000000,259695.968750
1.176616,122.563454,-0.000001,259695.968750
1.176616,122.563454,0.000001,259695.968750
1.176616,122.563454,0.000001,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,-0.000001,259695.968750
1.176616,122.563454,0.000001,259695.968750
1.176616,122.563454,0.000001,259695.968750
1.176616,122.563454,0.000001,259695.968750
1.176623,122.563454,0.000000,259695.968750
1.176616,122.661613,0.000002,259695.968750
1.176631,122.465294,-0.000001,262135.906250
1.176631,122.465294,-0.000001,262135.906250
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000002,259695.968750
1.176616,122.563454,0.000001,259695.968750
1.176616,122.563454,-0.000001,259695.968750
1.176616,122.563454,-0.000002,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000001,259695.968750
1.176616,122.563454,0.000001,259695.968750
1.176616,122.563454,-0.000003,259695.968750
1.176616,122.563454,-0.000001,259695.968750
1.176616,122.563454,-0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,-0.000001,259695.968750
1.176616,122.563454,-0.000001,259695.968750
1.176616,122.563438,0.850120,259695.968750
1.176615,122.563377,3.018303,259695.968750
1.176639,122.565781,1.260548,259695.968750
1.176703,122.572426,-3.236755,259695.968750
1.176653,122.567299,11.030522,259695.968750
1.176497,122.551163,25.254822,259695.968750
1.176768,122.586655,1.164614,259695.968750
1.165486,121.759781,-0.604629,259695.968750
1.170545,122.059769,9.910707,259695.968750
1.172413,122.179222,13.026176,259695.968750
1.174157,122.318512,0.861041,259695.968750
1.175829,122.480179,2.471890,259695.968750
1.177323,122.634888,4.946541,259695.968750
1.178901,122.786903,11.990273,259695.968750
1.180607,122.922134,14.883214,259695.968750
1.182201,123.009941,1.439166,259695.968750
1.187628,123.361717,0.669043,259695.968750
1.176827,122.592506,14.423661,259695.968750
1.176712,122.573387,15.301679,259695.968750
1.176574,122.559067,-13.431939,259695.968750
1.176560,122.557625,-3.531885,259695.968750
1.176639,122.565857,1.010272,259695.968750
1.176616,122.563454,2.295949,259695.968750
1.176616,122.563454,-0.851086,259695.968750
1.176616,122.563454,-0.000000,259695.968750
1.176616,122.563454,-0.000001,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000002,259695.968750
1.176616,122.563454,-0.000002,259695.968750
1.176616,122.563454,-0.000001,259695.968750
1.176616,122.563454,-0.000000,259695.968750
1.176616,122.563454,0.000001,259695.968750
1.176616,122.563454,-0.000001,259695.968750
1.176616,122.563454,-0.000002,259695.968750
1.176616,122.563454,-0.000001,259695.968750
1.176623,122.563454,-0.000000,259695.968750
1.176616,122.661613,-0.000003,259695.968750
1.176631,122.465294,0.000002,262135.906250
1.176631,122.465294,0.000002,262135.906250
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,-0.000001,259695.968750
1.176616,122.563454,-0.000000,259695.968750
1.176616,122.563454,0.000001,259695.968750
1.176616,122.563454,-0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000001,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000001,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,-0.000001,259695.968750
1.176616,122.563454,0.000001,259695.968750
1.176616,122.563454,0.000003,259695.968750
1.176616,122.563454,-0.000001,259695.968750
1.176549,122.556511,0.296282,259695.968750
1.176377,122.538795,1.105811,259695.968750
1.176454,122.546700,0.351352,259695.968750
1.176650,122.566971,-2.019156,259695.968750
1.175589,122.457314,3.229453,259695.968750
1.174632,122.358536,10.002750,259695.968750
1.175369,122.433990,-1.309389,259695.968750
1.176865,122.588692,-7.719356,259695.968750
1.176104,122.510353,1.728247,259695.968750
1.176457,122.546982,0.941273,259695.968750
1.176417,122.542946,-0.118255,259695.968750
1.176292,122.529968,-1.111055,259695.968750
1.175988,122.498611,-1.222128,259695.968750
1.175452,122.443199,-5.506867,259695.968750
1.175313,122.428963,-4.917725,259695.968750
1.176744,122.576500,8.633652,259695.968750
1.177742,122.679817,5.363707,259695.968750
1.175560,122.454315,-5.107475,259695.968750
1.176510,122.552490,-1.984876,259695.968750
1.176633,122.565208,0.837709,259695.968750
1.176797,122.582184,0.736714,259695.968750
1.176549,122.556503,-0.299414,259695.968750
1.176616,122.563454,-0.000001,259695.968750
1.176616,122.563454,0.000001,259695.968750
1.176616,122.563454,-0.000000,259695.968750
1.176616,122.563454,-0.000002,259695.968750
1.176616,122.563454,0.000001,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,-0.000003,259695.968750
1.176616,122.563454,-0.000000,259695.968750
1.176616,122.563454,0.000002,259695.968750
1.176616,122.563454,0.000002,259695.968750
1.176616,122.563454,-0.000002,259695.968750
1.176616,122.563454,-0.000002,259695.968750
1.176623,122.563461,-0.000001,259695.968750
1.176616,122.661613,-0.000003,259695.968750
1.176631,122.465309,0.000001,262135.906250
1.176631,122.465309,0.000001,262135.906250
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000001,259695.968750
1.176616,122.563454,0.000001,259695.968750
1.176616,122.563454,-0.000001,259695.968750
1.176616,122.563454,0.000001,259695.968750
1.176616,122.563454,-0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,-0.000000,259695.968750
1.176616,122.563454,0.000002,259695.968750
1.176616,122.563454,-0.000002,259695.968750
1.176616,122.563454,-0.000002,259695.968750
1.176616,122.563454,0.000002,259695.968750
1.176616,122.563454,0.000001,259695.968750
1.176616,122.563454,-0.000003,259695.968750
1.176616,122.563454,-0.000002,259695.968750
1.176616,122.563454,0.000004,259695.968750
1.176593,122.561035,0.061307,259695.968750
1.176529,122.554451,0.236784,259695.968750
1.176566,122.558304,0.028259,259695.968750
1.176691,122.571213,-0.651868,259695.968750
1.176337,122.534561,0.437700,259695.968750
1.176000,122.499664,1.907808,259695.968750
1.176738,122.575989,-0.334540,259695.968750
1.176689,122.570946,-0.735072,259695.968750
1.176670,122.569038,-0.132699,259695.968750
1.176613,122.563164,0.265865,259695.968750
1.176689,122.570992,0.186087,259695.968750
1.176705,122.572670,-0.076739,259695.968750
1.176727,122.574951,-0.274798,259695.968750
1.177012,122.604462,1.314492,259695.968750
1.176880,122.590820,1.053028,259695.968750
1.176280,122.528702,-1.117370,259695.968750
1.176516,122.553146,-0.551651,259695.968750
1.176659,122.567940,0.280872,259695.968750
1.176674,122.569435,0.136842,259695.968750
1.176592,122.561012,-0.061830,259695.968750
1.176616,122.563454,-0.000001,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,-0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,-0.000001,259695.968750
1.176616,122.563454,0.000001,259695.968750
1.176616,122.563454,0.000001,259695.968750
1.176616,122.563454,-0.000001,259695.968750
1.176616,122.563454,-0.000001,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000001,259695.968750
1.176623,122.563461,-0.000001,259695.968750
1.176616,122.661613,-0.000003,259695.968750
1.176631,122.465309,0.000001,262135.906250
1.176631,122.465309,0.000001,262135.906250
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,-0.000000,259695.968750
1.176616,122.563454,-0.000001,259695.968750
1.176616,122.563454,0.000001,259695.968750
1.176616,122.563454,-0.000001,259695.968750
1.176616,122.563454,0.000000,259695.968750
1.176616,122.563454,-0.000000,259695.968750
1.176616,122.563454,-0.000001,259695.968750
1.176616,122.563454,-0.000002,259695.968750
1.176616,122.563454,0.000003,259695.968750
1.176616,122.563454,0.000001,259695.968750
1.176616,122.563454,-0.000001,259695.968750
1.176616,122.563454,-0.000002,259695.968750
1.176616,122.563454,0.000002,259695.968750
1.176616,122.563454,-0.000001,259695.968750
1.176616,122.563454,-0.000000,259695.968750
1.176616,122.563454,-0.000000,259695.968750
1.176611,122.562958,0.006833,259695.968750
1.176598,122.561577,0.026434,259695.968750
1.176610,122.562828,-0.004411,259695.968750
1.176648,122.566811,-0.092534,259695.968750
1.176594,122.561134,0.019877,259695.968750
1.176572,122.558937,0.122905,259695.968750
1.176605,122.562309,0.008233,259695.968750
1.176632,122.565094,-0.038595,259695.968750
1.176613,122.563141,0.001402,259695.968750
